,ZIP,Neighborhood,Population,Year
0,94102,Financial District,31067.0,2018
1,94102,Hayes Valley,31067.0,2018
2,94102,Mission,31067.0,2018
3,94102,Nob Hill,31067.0,2018
4,94102,South of Market,31067.0,2018
5,94102,Tenderloin,31067.0,2018
6,94102,Western Addition,31067.0,2018
7,94103,Castro/Upper Market,28735.0,2018
8,94103,Financial District,28735.0,2018
9,94103,Hayes Valley,28735.0,2018
10,94103,Mission,28735.0,2018
11,94103,Mission Bay,28735.0,2018
12,94103,Potrero Hill,28735.0,2018
13,94103,South of Market,28735.0,2018
14,94103,Tenderloin,28735.0,2018
15,94104,Chinatown,546.0,2018
16,94104,Financial District,546.0,2018
17,94105,Financial District,9155.0,2018
18,94105,Mission Bay,9155.0,2018
19,94105,South of Market,9155.0,2018
20,94107,Bayview Hunters Point,29689.0,2018
21,94107,Financial District,29689.0,2018
22,94107,Mission,29689.0,2018
23,94107,Mission Bay,29689.0,2018
24,94107,Potrero Hill,29689.0,2018
25,94107,South of Market,29689.0,2018
26,94108,Chinatown,14550.0,2018
27,94108,Financial District,14550.0,2018
28,94108,Nob Hill,14550.0,2018
29,94108,South of Market,14550.0,2018
30,94108,Tenderloin,14550.0,2018
31,94109,Japantown,56677.0,2018
32,94109,Marina,56677.0,2018
33,94109,Nob Hill,56677.0,2018
34,94109,North Beach,56677.0,2018
35,94109,Pacific Heights,56677.0,2018
36,94109,Russian Hill,56677.0,2018
37,94109,Tenderloin,56677.0,2018
38,94109,Western Addition,56677.0,2018
39,94110,Bayview Hunters Point,74161.0,2018
40,94110,Bernal Heights,74161.0,2018
41,94110,Castro/Upper Market,74161.0,2018
42,94110,Excelsior,74161.0,2018
43,94110,Glen Park,74161.0,2018
44,94110,Mission,74161.0,2018
45,94110,Noe Valley,74161.0,2018
46,94110,Outer Mission,74161.0,2018
47,94110,Portola,74161.0,2018
48,94110,Potrero Hill,74161.0,2018
49,94111,Chinatown,3620.0,2018
50,94111,Financial District,3620.0,2018
51,94111,North Beach,3620.0,2018
52,94112,Bernal Heights,85166.0,2018
53,94112,Excelsior,85166.0,2018
54,94112,Glen Park,85166.0,2018
