Analysis Neighborhood,Incident Year-Month,Number of Crimes
Bayview Hunters Point,2018-01,751
Bayview Hunters Point,2018-02,653
Bayview Hunters Point,2018-03,620
Bayview Hunters Point,2018-04,673
Bayview Hunters Point,2018-05,682
Bayview Hunters Point,2018-06,648
Bayview Hunters Point,2018-07,668
Bayview Hunters Point,2018-08,674
Bayview Hunters Point,2018-09,694
Bayview Hunters Point,2018-10,727
Bayview Hunters Point,2018-11,617
Bayview Hunters Point,2018-12,640
Bayview Hunters Point,2019-01,714
Bayview Hunters Point,2019-02,674
Bayview Hunters Point,2019-03,630
Bayview Hunters Point,2019-04,745
Bayview Hunters Point,2019-05,737
Bayview Hunters Point,2019-06,595
Bayview Hunters Point,2019-07,659
Bayview Hunters Point,2019-08,680
Bayview Hunters Point,2019-09,708
Bayview Hunters Point,2019-10,739
Bayview Hunters Point,2019-11,662
Bayview Hunters Point,2019-12,663
Bayview Hunters Point,2020-01,702
Bayview Hunters Point,2020-02,695
Bayview Hunters Point,2020-03,590
Bayview Hunters Point,2020-04,616
Bayview Hunters Point,2020-05,648
Bayview Hunters Point,2020-06,624
Bayview Hunters Point,2020-07,692
Bayview Hunters Point,2020-08,642
Bayview Hunters Point,2020-09,641
Bayview Hunters Point,2020-10,649
Bayview Hunters Point,2020-11,698
Bayview Hunters Point,2020-12,818
Bayview Hunters Point,2021-01,855
Bayview Hunters Point,2021-02,752
Bayview Hunters Point,2021-03,770
Bayview Hunters Point,2021-04,718
Bayview Hunters Point,2021-05,773
Bayview Hunters Point,2021-06,727
Bayview Hunters Point,2021-07,738
Bayview Hunters Point,2021-08,713
Bayview Hunters Point,2021-09,757
Bayview Hunters Point,2021-10,809
Bayview Hunters Point,2021-11,705
Bayview Hunters Point,2021-12,790
Bayview Hunters Point,2022-01,700
Bayview Hunters Point,2022-02,675
Bayview Hunters Point,2022-03,705
Bayview Hunters Point,2022-04,704
Bayview Hunters Point,2022-05,796
Bayview Hunters Point,2022-06,724
Bayview Hunters Point,2022-07,799
Bayview Hunters Point,2022-08,799
Bayview Hunters Point,2022-09,777
Bayview Hunters Point,2022-10,820
Bayview Hunters Point,2022-11,746
Bayview Hunters Point,2022-12,701
Bernal Heights,2018-01,230
Bernal Heights,2018-02,182
Bernal Heights,2018-03,201
Bernal Heights,2018-04,200
Bernal Heights,2018-05,221
Bernal Heights,2018-06,201
Bernal Heights,2018-07,204
Bernal Heights,2018-08,219
Bernal Heights,2018-09,206
Bernal Heights,2018-10,212
Bernal Heights,2018-11,192
Bernal Heights,2018-12,182
Bernal Heights,2019-01,168
Bernal Heights,2019-02,153
Bernal Heights,2019-03,183
Bernal Heights,2019-04,200
Bernal Heights,2019-05,191
Bernal Heights,2019-06,171
Bernal Heights,2019-07,190
Bernal Heights,2019-08,222
Bernal Heights,2019-09,230
Bernal Heights,2019-10,264
Bernal Heights,2019-11,207
Bernal Heights,2019-12,188
Bernal Heights,2020-01,253
Bernal Heights,2020-02,224
Bernal Heights,2020-03,203
Bernal Heights,2020-04,166
Bernal Heights,2020-05,204
Bernal Heights,2020-06,146
Bernal Heights,2020-07,206
Bernal Heights,2020-08,188
Bernal Heights,2020-09,174
Bernal Heights,2020-10,180
Bernal Heights,2020-11,227
Bernal Heights,2020-12,224
Bernal Heights,2021-01,224
Bernal Heights,2021-02,188
Bernal Heights,2021-03,164
Bernal Heights,2021-04,204
Bernal Heights,2021-05,204
Bernal Heights,2021-06,212
Bernal Heights,2021-07,201
Bernal Heights,2021-08,242
Bernal Heights,2021-09,204
Bernal Heights,2021-10,216
Bernal Heights,2021-11,199
Bernal Heights,2021-12,194
Bernal Heights,2022-01,148
Bernal Heights,2022-02,179
Bernal Heights,2022-03,186
Bernal Heights,2022-04,215
Bernal Heights,2022-05,171
Bernal Heights,2022-06,174
Bernal Heights,2022-07,241
Bernal Heights,2022-08,211
Bernal Heights,2022-09,257
Bernal Heights,2022-10,209
Bernal Heights,2022-11,218
Bernal Heights,2022-12,200
Castro/Upper Market,2018-01,345
Castro/Upper Market,2018-02,287
Castro/Upper Market,2018-03,391
Castro/Upper Market,2018-04,384
Castro/Upper Market,2018-05,423
Castro/Upper Market,2018-06,407
Castro/Upper Market,2018-07,440
Castro/Upper Market,2018-08,419
Castro/Upper Market,2018-09,355
Castro/Upper Market,2018-10,399
Castro/Upper Market,2018-11,295
Castro/Upper Market,2018-12,357
Castro/Upper Market,2019-01,341
Castro/Upper Market,2019-02,302
Castro/Upper Market,2019-03,335
Castro/Upper Market,2019-04,366
Castro/Upper Market,2019-05,319
Castro/Upper Market,2019-06,376
Castro/Upper Market,2019-07,347
Castro/Upper Market,2019-08,355
Castro/Upper Market,2019-09,379
Castro/Upper Market,2019-10,410
Castro/Upper Market,2019-11,333
Castro/Upper Market,2019-12,325
Castro/Upper Market,2020-01,316
Castro/Upper Market,2020-02,286
Castro/Upper Market,2020-03,313
Castro/Upper Market,2020-04,268
Castro/Upper Market,2020-05,304
Castro/Upper Market,2020-06,270
Castro/Upper Market,2020-07,306
Castro/Upper Market,2020-08,305
Castro/Upper Market,2020-09,337
Castro/Upper Market,2020-10,307
Castro/Upper Market,2020-11,329
Castro/Upper Market,2020-12,257
Castro/Upper Market,2021-01,283
Castro/Upper Market,2021-02,299
Castro/Upper Market,2021-03,245
Castro/Upper Market,2021-04,251
Castro/Upper Market,2021-05,286
Castro/Upper Market,2021-06,276
Castro/Upper Market,2021-07,337
Castro/Upper Market,2021-08,299
Castro/Upper Market,2021-09,332
Castro/Upper Market,2021-10,316
Castro/Upper Market,2021-11,452
Castro/Upper Market,2021-12,356
Castro/Upper Market,2022-01,349
Castro/Upper Market,2022-02,285
Castro/Upper Market,2022-03,291
Castro/Upper Market,2022-04,294
Castro/Upper Market,2022-05,240
Castro/Upper Market,2022-06,280
Castro/Upper Market,2022-07,245
Castro/Upper Market,2022-08,246
Castro/Upper Market,2022-09,265
Castro/Upper Market,2022-10,246
Castro/Upper Market,2022-11,245
Castro/Upper Market,2022-12,202
Chinatown,2018-01,255
Chinatown,2018-02,239
Chinatown,2018-03,183
Chinatown,2018-04,220
Chinatown,2018-05,235
Chinatown,2018-06,265
Chinatown,2018-07,275
Chinatown,2018-08,257
Chinatown,2018-09,251
Chinatown,2018-10,242
Chinatown,2018-11,233
Chinatown,2018-12,260
Chinatown,2019-01,225
Chinatown,2019-02,207
Chinatown,2019-03,199
Chinatown,2019-04,195
Chinatown,2019-05,235
Chinatown,2019-06,236
Chinatown,2019-07,297
Chinatown,2019-08,277
Chinatown,2019-09,230
Chinatown,2019-10,249
Chinatown,2019-11,263
Chinatown,2019-12,241
Chinatown,2020-01,251
Chinatown,2020-02,207
Chinatown,2020-03,157
Chinatown,2020-04,145
Chinatown,2020-05,151
Chinatown,2020-06,133
Chinatown,2020-07,146
Chinatown,2020-08,121
Chinatown,2020-09,135
Chinatown,2020-10,164
Chinatown,2020-11,122
Chinatown,2020-12,154
Chinatown,2021-01,135
Chinatown,2021-02,120
Chinatown,2021-03,126
Chinatown,2021-04,143
Chinatown,2021-05,208
Chinatown,2021-06,214
Chinatown,2021-07,217
Chinatown,2021-08,191
Chinatown,2021-09,200
Chinatown,2021-10,202
Chinatown,2021-11,177
Chinatown,2021-12,196
Chinatown,2022-01,145
Chinatown,2022-02,159
Chinatown,2022-03,196
Chinatown,2022-04,162
Chinatown,2022-05,197
Chinatown,2022-06,231
Chinatown,2022-07,203
Chinatown,2022-08,215
Chinatown,2022-09,192
Chinatown,2022-10,194
Chinatown,2022-11,165
Chinatown,2022-12,213
Excelsior,2018-01,217
Excelsior,2018-02,237
Excelsior,2018-03,207
Excelsior,2018-04,198
Excelsior,2018-05,169
Excelsior,2018-06,165
Excelsior,2018-07,217
Excelsior,2018-08,219
Excelsior,2018-09,188
Excelsior,2018-10,177
Excelsior,2018-11,193
Excelsior,2018-12,173
Excelsior,2019-01,176
Excelsior,2019-02,179
Excelsior,2019-03,181
Excelsior,2019-04,192
Excelsior,2019-05,160
Excelsior,2019-06,171
Excelsior,2019-07,181
Excelsior,2019-08,158
Excelsior,2019-09,205
Excelsior,2019-10,179
Excelsior,2019-11,177
Excelsior,2019-12,168
Excelsior,2020-01,160
Excelsior,2020-02,158
Excelsior,2020-03,135
Excelsior,2020-04,139
Excelsior,2020-05,245
Excelsior,2020-06,194
Excelsior,2020-07,219
Excelsior,2020-08,194
Excelsior,2020-09,174
Excelsior,2020-10,190
Excelsior,2020-11,264
Excelsior,2020-12,195
Excelsior,2021-01,207
Excelsior,2021-02,222
Excelsior,2021-03,203
Excelsior,2021-04,199
Excelsior,2021-05,170
Excelsior,2021-06,205
Excelsior,2021-07,155
Excelsior,2021-08,213
Excelsior,2021-09,166
Excelsior,2021-10,161
Excelsior,2021-11,153
Excelsior,2021-12,114
Excelsior,2022-01,172
Excelsior,2022-02,136
Excelsior,2022-03,178
Excelsior,2022-04,131
Excelsior,2022-05,164
Excelsior,2022-06,162
Excelsior,2022-07,183
Excelsior,2022-08,155
Excelsior,2022-09,180
Excelsior,2022-10,202
Excelsior,2022-11,210
Excelsior,2022-12,181
Financial District/South Beach,2018-01,1093
Financial District/South Beach,2018-02,1040
Financial District/South Beach,2018-03,1042
Financial District/South Beach,2018-04,1126
Financial District/South Beach,2018-05,1180
Financial District/South Beach,2018-06,1148
Financial District/South Beach,2018-07,1378
Financial District/South Beach,2018-08,1273
Financial District/South Beach,2018-09,1243
Financial District/South Beach,2018-10,1190
Financial District/South Beach,2018-11,1101
Financial District/South Beach,2018-12,1129
Financial District/South Beach,2019-01,1068
Financial District/South Beach,2019-02,1004
Financial District/South Beach,2019-03,1104
Financial District/South Beach,2019-04,1017
Financial District/South Beach,2019-05,1011
Financial District/South Beach,2019-06,1059
Financial District/South Beach,2019-07,1144
Financial District/South Beach,2019-08,1184
Financial District/South Beach,2019-09,1144
Financial District/South Beach,2019-10,1148
Financial District/South Beach,2019-11,1212
Financial District/South Beach,2019-12,1042
Financial District/South Beach,2020-01,1089
Financial District/South Beach,2020-02,985
Financial District/South Beach,2020-03,656
Financial District/South Beach,2020-04,427
Financial District/South Beach,2020-05,547
Financial District/South Beach,2020-06,474
Financial District/South Beach,2020-07,546
Financial District/South Beach,2020-08,604
Financial District/South Beach,2020-09,534
Financial District/South Beach,2020-10,521
Financial District/South Beach,2020-11,536
Financial District/South Beach,2020-12,519
Financial District/South Beach,2021-01,518
Financial District/South Beach,2021-02,541
Financial District/South Beach,2021-03,592
Financial District/South Beach,2021-04,596
Financial District/South Beach,2021-05,688
Financial District/South Beach,2021-06,672
Financial District/South Beach,2021-07,749
Financial District/South Beach,2021-08,725
Financial District/South Beach,2021-09,1025
Financial District/South Beach,2021-10,1065
Financial District/South Beach,2021-11,1080
Financial District/South Beach,2021-12,822
Financial District/South Beach,2022-01,710
Financial District/South Beach,2022-02,753
Financial District/South Beach,2022-03,813
Financial District/South Beach,2022-04,782
Financial District/South Beach,2022-05,742
Financial District/South Beach,2022-06,863
Financial District/South Beach,2022-07,819
Financial District/South Beach,2022-08,862
Financial District/South Beach,2022-09,812
Financial District/South Beach,2022-10,792
Financial District/South Beach,2022-11,690
Financial District/South Beach,2022-12,757
Glen Park,2018-01,62
Glen Park,2018-02,40
Glen Park,2018-03,49
Glen Park,2018-04,64
Glen Park,2018-05,70
Glen Park,2018-06,40
Glen Park,2018-07,73
Glen Park,2018-08,70
Glen Park,2018-09,60
Glen Park,2018-10,65
Glen Park,2018-11,44
Glen Park,2018-12,78
Glen Park,2019-01,59
Glen Park,2019-02,52
Glen Park,2019-03,54
Glen Park,2019-04,47
Glen Park,2019-05,57
Glen Park,2019-06,49
Glen Park,2019-07,59
Glen Park,2019-08,57
Glen Park,2019-09,60
Glen Park,2019-10,81
Glen Park,2019-11,67
Glen Park,2019-12,76
Glen Park,2020-01,62
Glen Park,2020-02,36
Glen Park,2020-03,50
Glen Park,2020-04,56
Glen Park,2020-05,59
Glen Park,2020-06,68
Glen Park,2020-07,54
Glen Park,2020-08,59
Glen Park,2020-09,53
Glen Park,2020-10,92
Glen Park,2020-11,70
Glen Park,2020-12,69
Glen Park,2021-01,72
Glen Park,2021-02,59
Glen Park,2021-03,53
Glen Park,2021-04,40
Glen Park,2021-05,77
Glen Park,2021-06,71
Glen Park,2021-07,80
Glen Park,2021-08,41
Glen Park,2021-09,55
Glen Park,2021-10,58
Glen Park,2021-11,54
Glen Park,2021-12,68
Glen Park,2022-01,63
Glen Park,2022-02,51
Glen Park,2022-03,72
Glen Park,2022-04,58
Glen Park,2022-05,45
Glen Park,2022-06,46
Glen Park,2022-07,80
Glen Park,2022-08,56
Glen Park,2022-09,79
Glen Park,2022-10,75
Glen Park,2022-11,58
Glen Park,2022-12,74
Golden Gate Park,2018-01,137
Golden Gate Park,2018-02,100
Golden Gate Park,2018-03,94
Golden Gate Park,2018-04,104
Golden Gate Park,2018-05,114
Golden Gate Park,2018-06,124
Golden Gate Park,2018-07,156
Golden Gate Park,2018-08,189
Golden Gate Park,2018-09,169
Golden Gate Park,2018-10,145
Golden Gate Park,2018-11,130
