Analysis Neighborhood,Incident Year-Month,Incident Datetime
Bayview Hunters Point,2018-01,153
Bayview Hunters Point,2018-02,103
Bayview Hunters Point,2018-03,144
Bayview Hunters Point,2018-04,134
Bayview Hunters Point,2018-05,118
Bayview Hunters Point,2018-06,129
Bayview Hunters Point,2018-07,131
Bayview Hunters Point,2018-08,127
Bayview Hunters Point,2018-09,132
Bayview Hunters Point,2018-10,122
Bayview Hunters Point,2018-11,102
Bayview Hunters Point,2018-12,104
Bayview Hunters Point,2019-01,120
Bayview Hunters Point,2019-02,134
Bayview Hunters Point,2019-03,118
Bayview Hunters Point,2019-04,132
Bayview Hunters Point,2019-05,127
Bayview Hunters Point,2019-06,115
Bayview Hunters Point,2019-07,105
Bayview Hunters Point,2019-08,120
Bayview Hunters Point,2019-09,126
Bayview Hunters Point,2019-10,145
Bayview Hunters Point,2019-11,111
Bayview Hunters Point,2019-12,116
Bayview Hunters Point,2020-01,123
Bayview Hunters Point,2020-02,105
Bayview Hunters Point,2020-03,114
Bayview Hunters Point,2020-04,140
Bayview Hunters Point,2020-05,137
Bayview Hunters Point,2020-06,110
Bayview Hunters Point,2020-07,137
Bayview Hunters Point,2020-08,127
Bayview Hunters Point,2020-09,131
Bayview Hunters Point,2020-10,140
Bayview Hunters Point,2020-11,124
Bayview Hunters Point,2020-12,109
Bayview Hunters Point,2021-01,132
Bayview Hunters Point,2021-02,119
Bayview Hunters Point,2021-03,115
Bayview Hunters Point,2021-04,131
Bayview Hunters Point,2021-05,121
Bayview Hunters Point,2021-06,130
Bayview Hunters Point,2021-07,141
Bayview Hunters Point,2021-08,120
Bayview Hunters Point,2021-09,140
Bayview Hunters Point,2021-10,145
Bayview Hunters Point,2021-11,116
Bayview Hunters Point,2021-12,133
Bayview Hunters Point,2022-01,118
Bayview Hunters Point,2022-02,112
Bayview Hunters Point,2022-03,133
Bayview Hunters Point,2022-04,141
Bayview Hunters Point,2022-05,140
Bayview Hunters Point,2022-06,105
Bayview Hunters Point,2022-07,158
Bayview Hunters Point,2022-08,163
Bayview Hunters Point,2022-09,133
Bayview Hunters Point,2022-10,143
Bayview Hunters Point,2022-11,103
Bayview Hunters Point,2022-12,101
Bernal Heights,2018-01,35
Bernal Heights,2018-02,30
Bernal Heights,2018-03,34
Bernal Heights,2018-04,31
Bernal Heights,2018-05,52
Bernal Heights,2018-06,31
Bernal Heights,2018-07,53
Bernal Heights,2018-08,52
Bernal Heights,2018-09,34
Bernal Heights,2018-10,44
Bernal Heights,2018-11,41
Bernal Heights,2018-12,23
Bernal Heights,2019-01,29
Bernal Heights,2019-02,20
Bernal Heights,2019-03,31
Bernal Heights,2019-04,39
Bernal Heights,2019-05,34
Bernal Heights,2019-06,21
Bernal Heights,2019-07,31
Bernal Heights,2019-08,52
Bernal Heights,2019-09,33
Bernal Heights,2019-10,36
Bernal Heights,2019-11,34
Bernal Heights,2019-12,34
Bernal Heights,2020-01,49
Bernal Heights,2020-02,34
Bernal Heights,2020-03,46
Bernal Heights,2020-04,32
Bernal Heights,2020-05,35
Bernal Heights,2020-06,19
Bernal Heights,2020-07,41
Bernal Heights,2020-08,23
Bernal Heights,2020-09,35
Bernal Heights,2020-10,31
Bernal Heights,2020-11,29
Bernal Heights,2020-12,33
Bernal Heights,2021-01,45
Bernal Heights,2021-02,31
Bernal Heights,2021-03,24
Bernal Heights,2021-04,42
Bernal Heights,2021-05,35
Bernal Heights,2021-06,44
Bernal Heights,2021-07,40
Bernal Heights,2021-08,49
Bernal Heights,2021-09,46
Bernal Heights,2021-10,37
Bernal Heights,2021-11,33
Bernal Heights,2021-12,50
Bernal Heights,2022-01,20
Bernal Heights,2022-02,34
Bernal Heights,2022-03,26
Bernal Heights,2022-04,56
Bernal Heights,2022-05,24
Bernal Heights,2022-06,38
Bernal Heights,2022-07,48
Bernal Heights,2022-08,45
Bernal Heights,2022-09,37
Bernal Heights,2022-10,29
Bernal Heights,2022-11,37
Bernal Heights,2022-12,34
Castro/Upper Market,2018-01,46
Castro/Upper Market,2018-02,43
Castro/Upper Market,2018-03,70
Castro/Upper Market,2018-04,48
Castro/Upper Market,2018-05,62
Castro/Upper Market,2018-06,65
Castro/Upper Market,2018-07,59
Castro/Upper Market,2018-08,79
Castro/Upper Market,2018-09,67
Castro/Upper Market,2018-10,62
Castro/Upper Market,2018-11,42
Castro/Upper Market,2018-12,52
Castro/Upper Market,2019-01,64
Castro/Upper Market,2019-02,59
Castro/Upper Market,2019-03,64
Castro/Upper Market,2019-04,79
Castro/Upper Market,2019-05,56
Castro/Upper Market,2019-06,49
Castro/Upper Market,2019-07,73
Castro/Upper Market,2019-08,46
Castro/Upper Market,2019-09,53
Castro/Upper Market,2019-10,50
Castro/Upper Market,2019-11,60
Castro/Upper Market,2019-12,42
Castro/Upper Market,2020-01,58
Castro/Upper Market,2020-02,49
Castro/Upper Market,2020-03,58
Castro/Upper Market,2020-04,59
Castro/Upper Market,2020-05,57
Castro/Upper Market,2020-06,50
Castro/Upper Market,2020-07,57
Castro/Upper Market,2020-08,49
Castro/Upper Market,2020-09,75
Castro/Upper Market,2020-10,67
Castro/Upper Market,2020-11,52
Castro/Upper Market,2020-12,40
Castro/Upper Market,2021-01,46
Castro/Upper Market,2021-02,53
Castro/Upper Market,2021-03,58
Castro/Upper Market,2021-04,54
Castro/Upper Market,2021-05,49
Castro/Upper Market,2021-06,68
Castro/Upper Market,2021-07,58
Castro/Upper Market,2021-08,59
Castro/Upper Market,2021-09,57
Castro/Upper Market,2021-10,52
Castro/Upper Market,2021-11,66
Castro/Upper Market,2021-12,47
Castro/Upper Market,2022-01,47
Castro/Upper Market,2022-02,48
Castro/Upper Market,2022-03,32
Castro/Upper Market,2022-04,54
Castro/Upper Market,2022-05,43
Castro/Upper Market,2022-06,41
Castro/Upper Market,2022-07,36
Castro/Upper Market,2022-08,39
Castro/Upper Market,2022-09,41
Castro/Upper Market,2022-10,36
Castro/Upper Market,2022-11,39
Castro/Upper Market,2022-12,30
Chinatown,2018-01,49
Chinatown,2018-02,40
Chinatown,2018-03,25
Chinatown,2018-04,43
Chinatown,2018-05,31
Chinatown,2018-06,41
Chinatown,2018-07,51
Chinatown,2018-08,36
Chinatown,2018-09,32
Chinatown,2018-10,50
Chinatown,2018-11,35
Chinatown,2018-12,43
Chinatown,2019-01,32
Chinatown,2019-02,32
Chinatown,2019-03,34
Chinatown,2019-04,29
Chinatown,2019-05,51
Chinatown,2019-06,35
Chinatown,2019-07,47
Chinatown,2019-08,59
Chinatown,2019-09,34
Chinatown,2019-10,35
Chinatown,2019-11,42
Chinatown,2019-12,47
Chinatown,2020-01,45
Chinatown,2020-02,37
Chinatown,2020-03,39
Chinatown,2020-04,28
Chinatown,2020-05,31
Chinatown,2020-06,36
Chinatown,2020-07,33
Chinatown,2020-08,23
Chinatown,2020-09,36
Chinatown,2020-10,41
Chinatown,2020-11,30
Chinatown,2020-12,28
Chinatown,2021-01,39
Chinatown,2021-02,30
Chinatown,2021-03,28
Chinatown,2021-04,32
Chinatown,2021-05,36
Chinatown,2021-06,54
Chinatown,2021-07,28
Chinatown,2021-08,31
Chinatown,2021-09,37
Chinatown,2021-10,47
Chinatown,2021-11,31
Chinatown,2021-12,31
Chinatown,2022-01,22
Chinatown,2022-02,37
Chinatown,2022-03,33
Chinatown,2022-04,25
Chinatown,2022-05,56
Chinatown,2022-06,53
Chinatown,2022-07,47
Chinatown,2022-08,36
Chinatown,2022-09,27
Chinatown,2022-10,31
Chinatown,2022-11,33
Chinatown,2022-12,35
Excelsior,2018-01,50
Excelsior,2018-02,50
Excelsior,2018-03,44
Excelsior,2018-04,47
Excelsior,2018-05,37
Excelsior,2018-06,32
Excelsior,2018-07,43
Excelsior,2018-08,56
Excelsior,2018-09,32
Excelsior,2018-10,35
Excelsior,2018-11,36
Excelsior,2018-12,31
Excelsior,2019-01,46
Excelsior,2019-02,39
Excelsior,2019-03,48
Excelsior,2019-04,48
Excelsior,2019-05,32
Excelsior,2019-06,42
Excelsior,2019-07,40
Excelsior,2019-08,31
Excelsior,2019-09,31
Excelsior,2019-10,38
Excelsior,2019-11,32
Excelsior,2019-12,31
Excelsior,2020-01,32
Excelsior,2020-02,25
Excelsior,2020-03,29
Excelsior,2020-04,37
Excelsior,2020-05,42
Excelsior,2020-06,26
Excelsior,2020-07,36
Excelsior,2020-08,50
Excelsior,2020-09,24
Excelsior,2020-10,40
Excelsior,2020-11,53
Excelsior,2020-12,34
Excelsior,2021-01,35
Excelsior,2021-02,43
Excelsior,2021-03,31
Excelsior,2021-04,47
Excelsior,2021-05,33
Excelsior,2021-06,45
Excelsior,2021-07,27
Excelsior,2021-08,47
Excelsior,2021-09,43
Excelsior,2021-10,30
Excelsior,2021-11,29
Excelsior,2021-12,18
Excelsior,2022-01,41
Excelsior,2022-02,28
Excelsior,2022-03,42
Excelsior,2022-04,22
Excelsior,2022-05,37
Excelsior,2022-06,43
Excelsior,2022-07,40
Excelsior,2022-08,35
Excelsior,2022-09,36
Excelsior,2022-10,44
Excelsior,2022-11,43
Excelsior,2022-12,33
Financial District/South Beach,2018-01,188
Financial District/South Beach,2018-02,152
Financial District/South Beach,2018-03,154
Financial District/South Beach,2018-04,181
Financial District/South Beach,2018-05,180
Financial District/South Beach,2018-06,212
Financial District/South Beach,2018-07,211
Financial District/South Beach,2018-08,203
Financial District/South Beach,2018-09,230
Financial District/South Beach,2018-10,186
Financial District/South Beach,2018-11,191
Financial District/South Beach,2018-12,215
Financial District/South Beach,2019-01,199
Financial District/South Beach,2019-02,176
Financial District/South Beach,2019-03,190
Financial District/South Beach,2019-04,158
Financial District/South Beach,2019-05,160
Financial District/South Beach,2019-06,160
Financial District/South Beach,2019-07,190
Financial District/South Beach,2019-08,226
Financial District/South Beach,2019-09,204
Financial District/South Beach,2019-10,179
Financial District/South Beach,2019-11,220
Financial District/South Beach,2019-12,175
Financial District/South Beach,2020-01,181
Financial District/South Beach,2020-02,180
Financial District/South Beach,2020-03,150
Financial District/South Beach,2020-04,104
Financial District/South Beach,2020-05,127
Financial District/South Beach,2020-06,85
Financial District/South Beach,2020-07,108
Financial District/South Beach,2020-08,106
Financial District/South Beach,2020-09,122
Financial District/South Beach,2020-10,111
Financial District/South Beach,2020-11,109
Financial District/South Beach,2020-12,111
Financial District/South Beach,2021-01,107
Financial District/South Beach,2021-02,136
Financial District/South Beach,2021-03,113
Financial District/South Beach,2021-04,116
Financial District/South Beach,2021-05,128
Financial District/South Beach,2021-06,127
Financial District/South Beach,2021-07,142
Financial District/South Beach,2021-08,139
Financial District/South Beach,2021-09,172
Financial District/South Beach,2021-10,155
Financial District/South Beach,2021-11,154
Financial District/South Beach,2021-12,126
Financial District/South Beach,2022-01,104
Financial District/South Beach,2022-02,92
Financial District/South Beach,2022-03,121
Financial District/South Beach,2022-04,120
Financial District/South Beach,2022-05,120
Financial District/South Beach,2022-06,153
Financial District/South Beach,2022-07,159
Financial District/South Beach,2022-08,130
Financial District/South Beach,2022-09,142
Financial District/South Beach,2022-10,126
Financial District/South Beach,2022-11,93
Financial District/South Beach,2022-12,110
Glen Park,2018-01,5
Glen Park,2018-02,4
Glen Park,2018-03,10
Glen Park,2018-04,11
Glen Park,2018-05,11
Glen Park,2018-06,5
Glen Park,2018-07,11
Glen Park,2018-08,17
Glen Park,2018-09,6
Glen Park,2018-10,11
Glen Park,2018-11,6
Glen Park,2018-12,12
Glen Park,2019-01,7
Glen Park,2019-02,6
Glen Park,2019-03,10
Glen Park,2019-04,8
Glen Park,2019-05,7
Glen Park,2019-06,11
Glen Park,2019-07,3
Glen Park,2019-08,7
Glen Park,2019-09,8
Glen Park,2019-10,11
Glen Park,2019-11,6
Glen Park,2019-12,9
Glen Park,2020-01,10
Glen Park,2020-02,3
Glen Park,2020-03,4
Glen Park,2020-04,12
Glen Park,2020-05,10
Glen Park,2020-06,10
Glen Park,2020-07,7
Glen Park,2020-08,13
Glen Park,2020-09,11
Glen Park,2020-10,13
Glen Park,2020-11,17
Glen Park,2020-12,8
Glen Park,2021-01,9
Glen Park,2021-02,9
Glen Park,2021-03,10
Glen Park,2021-04,8
Glen Park,2021-05,11
Glen Park,2021-06,12
Glen Park,2021-07,11
Glen Park,2021-08,4
Glen Park,2021-09,11
Glen Park,2021-10,5
Glen Park,2021-11,11
Glen Park,2021-12,7
Glen Park,2022-01,2
Glen Park,2022-02,7
Glen Park,2022-03,7
Glen Park,2022-04,7
Glen Park,2022-05,9
Glen Park,2022-06,7
Glen Park,2022-07,10
Glen Park,2022-08,6
Glen Park,2022-09,10
Glen Park,2022-10,10
Glen Park,2022-11,13
Glen Park,2022-12,5
Golden Gate Park,2018-01,24
Golden Gate Park,2018-02,12
Golden Gate Park,2018-03,17
Golden Gate Park,2018-04,14
Golden Gate Park,2018-05,9
Golden Gate Park,2018-06,12
Golden Gate Park,2018-07,9
Golden Gate Park,2018-08,23
Golden Gate Park,2018-09,22
Golden Gate Park,2018-10,16
Golden Gate Park,2018-11,20
Golden Gate Park,2018-12,17
