Analysis Neighborhood,Incident Year-Month,Incident Datetime
Bayview Hunters Point,2018-01,209
Bayview Hunters Point,2018-02,188
Bayview Hunters Point,2018-03,202
Bayview Hunters Point,2018-04,206
Bayview Hunters Point,2018-05,218
Bayview Hunters Point,2018-06,221
Bayview Hunters Point,2018-07,229
Bayview Hunters Point,2018-08,219
Bayview Hunters Point,2018-09,219
Bayview Hunters Point,2018-10,233
Bayview Hunters Point,2018-11,207
Bayview Hunters Point,2018-12,212
Bayview Hunters Point,2019-01,232
Bayview Hunters Point,2019-02,197
Bayview Hunters Point,2019-03,200
Bayview Hunters Point,2019-04,217
Bayview Hunters Point,2019-05,240
Bayview Hunters Point,2019-06,192
Bayview Hunters Point,2019-07,213
Bayview Hunters Point,2019-08,221
Bayview Hunters Point,2019-09,252
Bayview Hunters Point,2019-10,253
Bayview Hunters Point,2019-11,221
Bayview Hunters Point,2019-12,202
Bayview Hunters Point,2020-01,226
Bayview Hunters Point,2020-02,215
Bayview Hunters Point,2020-03,194
Bayview Hunters Point,2020-04,204
Bayview Hunters Point,2020-05,195
Bayview Hunters Point,2020-06,206
Bayview Hunters Point,2020-07,219
Bayview Hunters Point,2020-08,201
Bayview Hunters Point,2020-09,177
Bayview Hunters Point,2020-10,202
Bayview Hunters Point,2020-11,217
Bayview Hunters Point,2020-12,274
Bayview Hunters Point,2021-01,249
Bayview Hunters Point,2021-02,225
Bayview Hunters Point,2021-03,221
Bayview Hunters Point,2021-04,217
Bayview Hunters Point,2021-05,293
Bayview Hunters Point,2021-06,265
Bayview Hunters Point,2021-07,233
Bayview Hunters Point,2021-08,215
Bayview Hunters Point,2021-09,262
Bayview Hunters Point,2021-10,253
Bayview Hunters Point,2021-11,227
Bayview Hunters Point,2021-12,266
Bayview Hunters Point,2022-01,228
Bayview Hunters Point,2022-02,224
Bayview Hunters Point,2022-03,261
Bayview Hunters Point,2022-04,252
Bayview Hunters Point,2022-05,252
Bayview Hunters Point,2022-06,235
Bayview Hunters Point,2022-07,257
Bayview Hunters Point,2022-08,276
Bayview Hunters Point,2022-09,278
Bayview Hunters Point,2022-10,266
Bayview Hunters Point,2022-11,266
Bayview Hunters Point,2022-12,268
Bernal Heights,2018-01,88
Bernal Heights,2018-02,59
Bernal Heights,2018-03,63
Bernal Heights,2018-04,76
Bernal Heights,2018-05,72
Bernal Heights,2018-06,65
Bernal Heights,2018-07,76
Bernal Heights,2018-08,61
Bernal Heights,2018-09,56
Bernal Heights,2018-10,81
Bernal Heights,2018-11,55
Bernal Heights,2018-12,66
Bernal Heights,2019-01,48
Bernal Heights,2019-02,59
Bernal Heights,2019-03,64
Bernal Heights,2019-04,60
Bernal Heights,2019-05,65
Bernal Heights,2019-06,62
Bernal Heights,2019-07,65
Bernal Heights,2019-08,79
Bernal Heights,2019-09,77
Bernal Heights,2019-10,97
Bernal Heights,2019-11,78
Bernal Heights,2019-12,74
Bernal Heights,2020-01,97
Bernal Heights,2020-02,74
Bernal Heights,2020-03,73
Bernal Heights,2020-04,67
Bernal Heights,2020-05,71
Bernal Heights,2020-06,54
Bernal Heights,2020-07,82
Bernal Heights,2020-08,90
Bernal Heights,2020-09,80
Bernal Heights,2020-10,72
Bernal Heights,2020-11,118
Bernal Heights,2020-12,108
Bernal Heights,2021-01,101
Bernal Heights,2021-02,80
Bernal Heights,2021-03,83
Bernal Heights,2021-04,82
Bernal Heights,2021-05,73
Bernal Heights,2021-06,79
Bernal Heights,2021-07,76
Bernal Heights,2021-08,93
Bernal Heights,2021-09,70
Bernal Heights,2021-10,101
Bernal Heights,2021-11,86
Bernal Heights,2021-12,70
Bernal Heights,2022-01,69
Bernal Heights,2022-02,81
Bernal Heights,2022-03,89
Bernal Heights,2022-04,79
Bernal Heights,2022-05,89
Bernal Heights,2022-06,72
Bernal Heights,2022-07,93
Bernal Heights,2022-08,84
