Neighborhood,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
Bayview Hunters Point,831369.3810833334,836834.2487166667,842389.7830166668,846786.6948666667,854780.9713666666,863505.6359999999,870626.2723833333,873806.1160666667,875630.37445,878203.1079166667,880549.95265,880888.3569666668,879147.5966500001,875529.7272,872470.3482333333,871027.9692166667,871641.9142,875291.7455166667,881238.63495,887666.3813666668,892968.8515833333,896654.4511666667,900971.03135,905184.52365,909836.4264833335,913673.8468666667,917614.1756000001,918924.6486333334,916413.2266833334,908900.24295,902844.3019666667,901989.0341500001,905329.3710166666,907321.2015666667,907261.6242999999,904752.6511166667,902353.9741833332,899642.0465833334,899487.1420333333,902680.5875333333,909373.5743,917605.2421666667,925767.3608333333,930153.66885,931747.2066,932344.9364833334,934875.54,936598.7912,936812.0403,938270.0482333334,942821.566,946580.8859833333,947045.5302666667,942304.3578,933254.0111833332,919723.6094,903077.4787166667,887773.05485,873668.90085,860694.5101833333
Bernal Heights,1375102.57325,1387179.9815,1399211.8565,1408955.45375,1423617.59225,1435917.747,1438417.25325,1434586.0505,1430127.46025,1431057.097,1430993.72975,1427391.56125,1421047.696,1409958.03425,1397900.3615,1389583.70725,1385879.27775,1390210.06875,1398301.30175,1410364.923,1418958.37,1423416.0320000001,1426953.442,1430826.673,1438430.5325,1445025.02775,1453784.62225,1458993.11625,1456206.0295,1443259.28725,1433388.44925,1435363.18025,1445602.45725,1451674.5465,1451348.12625,1447733.8657499999,1442363.38125,1437560.8495,1436487.2615,1440748.632,1451094.08975,1461959.15675,1478594.271,1490933.8675,1501491.23175,1506726.17725,1514357.29425,1519725.8095,1524719.6885,1532717.62175,1544773.3960000002,1551734.9585,1550537.70025,1539318.26125,1519911.029,1491201.4045000002,1456723.055,1427157.35675,1402187.7917499999,1380843.0787499999
Castro /Upper Market,1654890.435,1665721.675,1674728.86375,1682072.87475,1695478.68925,1710666.63875,1713891.20325,1710232.599,1704266.0045,1704677.68025,1706552.19475,1703247.3735,1697859.81125,1687409.88725,1679552.91275,1677674.6845,1680832.801,1687424.8475000001,1695148.4015000002,1704838.8915,1713164.3445000001,1720990.08575,1729432.47725,1739488.33425,1747554.7285,1751427.4855,1756487.726,1758655.85075,1752438.4479999999,1735415.9975,1720216.33675,1717642.4205,1722071.27275,1725049.85175,1723654.30125,1717481.11125,1707563.427,1694438.53325,1686475.53375,1686265.1055,1697290.44475,1712061.05225,1732525.21625,1749678.64375,1764089.0285,1773272.38575,1788032.19325,1803847.70225,1816264.965,1826407.77575,1838399.0632500001,1850473.2422500001,1854108.4382500001,1843518.067,1820629.53825,1782846.42475,1739188.3355,1698651.3905,1666802.19475,1638838.163
Chinatown,932036.129,937164.6564,942286.4966,947512.5049,956943.7055,965682.3483,970244.8402,970394.2679,968053.5821,968261.8848,969143.8127,969041.0546,967412.0521,962405.3218,961569.0873,963033.2232,970328.04,977335.0897,986330.2037,993141.4247,996417.758,997902.5948,998062.1979,999894.4897,998630.8503,994559.9729,991122.2506,989538.9208,989384.4514,986466.1471,984401.8249,986127.332,992270.7162,997112.9394,1000219.25,1000438.676,998318.9737,993319.525,986947.5547,982314.5354,983124.1635,986755.2508,995298.6553,1004945.737,1017788.884,1029150.062,1042929.426,1054168.402,1050891.77,1036411.256,1017680.368,1009112.934,1000575.31,988076.4799,970667.8274,950842.5382,930835.6593,914768.7487,905287.6769,900302.4746
Excelsior,971933.2654,980213.4307666667,987760.8448333334,995465.0283333333,1006299.8456666666,1016090.5153333334,1020471.032,1019138.0313333333,1015312.1003333334,1015029.3616666667,1014907.4296666667,1014224.7796666668,1012472.9266666668,1009521.6296666666,1006765.5644333333,1004997.1283666667,1005460.4511666667,1009241.1486666667,1015225.0106666666,1021687.68,1027700.5906666666,1031784.2933333333,1036861.3523333333,1042360.3079999998,1049621.2656666667,1057271.4476666667,1065180.3793333333,1070451.267,1069623.807,1062663.6413333332,1058047.6043333334,1060914.6833333333,1069382.2426666666,1075546.6556666668,1078404.459,1077688.2693333335,1075945.5983333334,1073609.6106666666,1074446.55,1078421.6346666666,1086364.4203333333,1096611.791,1109119.3236666666,1116965.702,1119445.2773333334,1118934.5896666667,1120945.3196666667,1122422.3586666668,1126390.5133333334,1134391.261,1147138.6756666666,1156627.998,1159802.7603333334,1155352.83,1144144.6816666666,1127006.7146666667,1106721.8873333333,1088556.5356666667,1072309.3113333334,1057308.658
Financial District/South Beach,1075949.64815,1078617.740625,1081246.3055750001,1081138.07945,1082698.90685,1084158.253925,1082674.1853,1078670.211375,1075996.74835,1076462.461875,1078376.5621500001,1079015.308025,1078150.611,1074719.455875,1071723.127725,1072483.228825,1074913.049225,1079255.3907,1084119.56405,1090214.418275,1094127.241925,1097637.011025,1101165.7203250001,1105844.82895,1104528.6318,1098727.81,1090075.18055,1084157.064125,1078705.1367,1072430.785125,1066209.4359249999,1062575.1385,1061113.65535,1061537.08115,1063343.840825,1064940.3555,1065053.625775,1061178.220175,1056221.5420000001,1050712.828425,1049820.290925,1051680.9570499999,1061002.1361749999,1073329.778575,1088586.9393,1101637.6210750001,1116142.159,1130108.63625,1137460.8095,1138027.9,1134586.41075,1132122.7604999999,1128000.9457,1119694.225325,1106002.1018,1087941.1554,1067248.42695,1048653.1064,1033664.913425,1019411.603375
Glen Park,1405747.261,1421693.3939999999,1435651.337,1445184.6465,1459732.5695,1472517.362,1476091.804,1472341.993,1466700.0685,1465555.2880000002,1463444.4455,1459725.111,1453628.378,1443433.9394999999,1430463.4875,1423088.5845,1418907.794,1422832.065,1429112.0415,1438637.7415,1445154.0359999998,1448727.4495,1451005.328,1453055.513,1454568.4135,1457263.48,1463066.064,1468850.6400000001,1467102.3555,1455298.7170000002,1446380.298,1448869.4215,1460024.137,1467532.689,1470226.2565000001,1470088.5195,1465390.0635000002,1460513.412,1458073.049,1463969.1205000002,1477063.8215,1493640.7315,1511439.0350000001,1519839.643,1523208.8424999998,1527535.0045,1539239.563,1550170.224,1561304.427,1575819.2635,1593957.7065,1606944.1795,1611279.9845,1605122.2740000002,1586002.8615,1554745.117,1516648.4135,1484598.0335,1458118.5580000002,1438421.3675
Haight Ashbury,1539832.2451250001,1546507.721375,1551877.9445,1555896.613875,1565667.520625,1575476.5363750001,1577415.343625,1575352.52025,1574267.824,1576664.3657499999,1579578.575875,1577114.0115,1574924.08375,1570148.712375,1566981.306375,1569468.26375,1573978.90175,1581143.58675,1586935.590125,1595432.96275,1603591.36025,1611270.279875,1618852.831125,1626417.143625,1630682.25825,1630458.6285,1630633.425,1630429.264625,1624381.2859999998,1610726.492375,1598757.451875,1596168.20025,1599015.456875,1600142.162875,1599872.918625,1598112.5255,1595364.734,1589030.34,1586183.065125,1588750.531625,1601818.77575,1616222.984375,1634407.437375,1649009.301375,1663259.432875,1675066.792375,1692342.940125,1709630.096125,1722872.05525,1732168.2266250001,1742318.02925,1751386.271375,1752046.086125,1741853.839375,1721019.227,1691140.655125,1653438.440125,1619499.4508749999,1591481.72175,1567043.93
Hayes Valley,1138367.356,1147311.411,1153988.84,1159517.461,1166656.242,1172894.495,1175244.28,1175417.148,1176437.984,1180327.224,1183877.256,1182411.088,1177320.477,1169254.895,1163101.195,1162321.281,1165017.59,1168721.874,1171459.674,1176010.274,1181648.393,1189404.685,1195507.483,1202052.074,1205369.896,1205081.904,1204854.638,1202273.048,1196764.516,1185518.231,1176519.513,1172486.198,1170848.129,1167071.658,1162889.221,1157514.94,1153022.715,1145132.937,1138749.378,1130543.473,1126635.133,1123214.498,1129805.288,1140185.582,1155260.722,1168539.649,1185631.912,1200243.245,1206051.368,1202166.439,1196774.554,1194518.098,1192656.56,1184130.382,1167771.682,1146139.665,1124321.446,1108115.139,1094706.876,1078480.875
Inner Richmond,1948172.0040000002,1968511.254,1981078.546,1990287.3839999998,1999887.9760000003,2009589.582,1998800.4265,1983770.7425000002,1973802.2625,1976979.8675,1983866.992,1980189.136,1968809.4655,1945189.3790000002,1924879.9705,1911939.932,1908338.1175,1912910.8045,1924748.1175,1941883.7775,1955162.4585000002,1966024.0825,1974845.2385,1984752.991,1995705.5985,2003192.4700000002,2014103.2105,2018836.6635,2013837.7875,1994829.8584999999,1979845.4244999997,1980936.2920000001,1995032.164,2004060.5945000001,2009542.3805,2011036.1184999999,2013478.852,2010545.1285,2010238.5885,2016848.8605,2038756.131,2066437.654,2097569.6905,2122138.216,2142948.424,2158093.2824999997,2176359.741,2192491.833,2212218.337,2240039.7255,2279918.609,2314023.776,2326623.6865,2309956.4045,2274531.0635,2226152.0335,2170054.2545,2120608.0225,2082715.438,2050317.511
